input	pre_release_time	initial_time	thm	th	d_thm	d_th	
count	step	J	finish_time	input	
1.82	1.8	-0.02	4.71239	-0.226893	0	-113.446	
1	0	1.01627	1.821	1.82	
1	1	0.553533	1.811	1.81053	
1	2	0.75263	2.072	2.07128	
1	3	0.556388	2.251	2.25078	
1	4	1.24736	2.508	2.47131	
1	5	0.175561	2.062	2.06111	
1	6	1.03727	2.325	2.32402	
1	7	1.16114	2.371	2.33706	
1	8	0.603224	2.007	1.97463	
1	9	0.456636	1.743	1.74202	
0.0290099	1.99001	1.961	4.71239	-0.0872665	0	0.872665	
2	0	0.926317	0.089	0.0290099	
2	1	0.923768	0.095	0.0348555	
2	2	0.920159	0.104	0.0417206	
2	3	0.915465	0.115	0.0500293	
2	4	0.910204	0.128	0.060036	
2	5	0.904926	0.14	0.0702478	
2	6	0.899672	0.151	0.0806115	
2	7	0.893976	0.164	0.0910663	
2	8	0.888911	0.175	0.101539	
2	9	0.88397	0.186	0.111951	
