time	x	z	theta_m[deg]	theta[deg]	dx	dz	dtheta_m[deg]	dtheta[deg]	r	torque	hand2bar	
0	0	0	60	-90	0	0	0	0	0.01	0	10
0.001	0	0	60	-89.9991	0	0	-545.455	1.79868	0.01	0	10
0.002	0	0	59.4545	-89.9964	0	0	-545.455	3.59565	0.0101644	0	10
0.003	0	0	58.9091	-89.9919	0	0	-545.455	5.39116	0.0103279	0	10
0.004	0	0	58.3636	-89.9856	0	0	-545.455	7.18522	0.0104905	0	10
0.005	0	0	57.8182	-89.9775	0	0	-545.455	8.97784	0.0106522	0	10
0.006	0	0	57.2727	-89.9677	0	0	-545.455	10.769	0.0108128	0	10
0.007	0	0	56.7273	-89.956	0	0	-545.455	12.5588	0.0109725	0	10
0.008	0	0	56.1818	-89.9425	0	0	-545.455	14.3473	0.0111312	0	10
0.009	0	0	55.6364	-89.9273	0	0	-545.455	16.1343	0.0112889	0	10
0.01	0	0	55.0909	-89.9103	0	0	-545.455	17.92	0.0114455	0	10
0.011	0	0	54.5455	-89.8915	0	0	-545.455	19.7043	0.0116011	0	10
0.012	0	0	54	-89.8709	0	0	-545.455	21.4873	0.0117557	0	10
0.013	0	0	53.4545	-89.8485	0	0	-545.455	23.269	0.0119092	0	10
0.014	0	0	52.9091	-89.8243	0	0	-545.455	25.0494	0.0120616	0	10
0.015	0	0	52.3636	-89.7984	0	0	-545.455	26.8285	0.012213	0	10
0.016	0	0	51.8182	-89.7707	0	0	-545.455	28.6063	0.0123632	0	10
0.017	0	0	51.2727	-89.7412	0	0	-545.455	30.383	0.0125123	0	10
0.018	0	0	50.7273	-89.7099	0	0	-545.455	32.1583	0.0126602	0	10
0.019	0	0	50.1818	-89.6769	0	0	-545.455	33.9325	0.0128071	0	10
0.02	0	0	49.6364	-89.642	0	0	-545.455	35.7054	0.0129527	0	10
0.021	0	0	49.0909	-89.6055	0	0	-545.455	37.4772	0.0130972	0	10
0.022	0	0	48.5455	-89.5671	0	0	-545.455	39.2478	0.0132405	0	10
0.023	0	0	48	-89.527	0	0	-545.455	41.0173	0.0133826	0	10
0.024	0	0	47.4545	-89.4851	0	0	-545.455	42.7857	0.0135235	0	10
0.025	0	0	46.9091	-89.4414	0	0	-545.455	44.5529	0.0136632	0	10
0.026	0	0	46.3636	-89.396	0	0	-545.455	46.319	0.0138016	0	10
0.027	0	0	45.8182	-89.3488	0	0	-545.455	48.0841	0.0139388	0	10
0.028	0	0	45.2727	-89.2998	0	0	-545.455	49.8481	0.0140747	0	10
0.029	0	0	44.7273	-89.2491	0	0	-545.455	51.6111	0.0142093	0	10
0.03	0	0	44.1818	-89.1966	0	0	-545.455	53.373	0.0143426	0	10
